scope,storage_root,field_path,field_label,data_type,format,requiredness,required_when,allowed_values,sensitive,persistence_status,derived_or_input,collection_min,collection_max,initial_item_count,sync_party_ids,source_file,source_symbol,source_line,notes
common,D,typeOfGuardianship,Type of guardianship,enum,,conditional,accounting,Plenary; Limited; Guardian Advocate; Voluntary; Minor - Person; Minor - Property; Minor - Person - Property,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Existing control converted to GD-workslip-derived select; legacy free-text values are preserved as selected ad hoc options until user changes them.
common,D,gid,Guardianship inception date,date,iso-date,conditional,accounting/plans,,none,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,ISO date
common,D,ssn,Social Security Number,string,ssn-ein,conditional,simplified accounting,,government-id,persisted,input,,,,,src/core/state.js,shared across emptyData*() factories,,Masked in form but exported in filing PDF
simplified_accounting,D,eligDepository,All property in designated depository,enum,,required,,Yes; No,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Tri-state Yes/No eligibility gate; new records begin unanswered ('')
simplified_accounting,D,eligOnlyTransactions,Only permitted transactions,enum,,required,,Yes; No,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Tri-state Yes/No eligibility gate; new records begin unanswered ('')
simplified_accounting,D,startingBalance,Starting balance,decimal,currency,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Currency amount
simplified_accounting,D,interestIncome,Interest income,decimal,currency,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Currency amount
simplified_accounting,D,depositsSettlement,Settlement deposits,decimal,currency,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Currency amount
simplified_accounting,D,serviceCharges,Financial institution service charges,decimal,currency,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Currency amount
simplified_accounting,D,federalIncomeTax,Federal income tax,decimal,currency,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Currency amount
simplified_accounting,D,guardians[].name,Guardian printed name,string,,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,"Repeatable guardian row. KNOWN SCHEMA DRIFT: the shared addCollectionRow('guardians',...) factory (schedule-definitions.js) produces officeStreet/officeCityStateZip on any row added past the initial 3, but Simplified's own seed rows and its rendering/validation code (simplified-accounting/index.js) use residenceStreet/residenceCityStateZip instead -- an added 4th+ guardian silently gets two dead keys and starts with blank address fields (not a visible bug, just latent inconsistency). Separately, simplified-accounting/excel.js hardcodes exactly 3 guardian slots (g1/g2/g3), so a 4th+ guardian is invisible to Excel export/import even though it prints correctly in the PDF. Found during Milestone 34-2 migration; not fixed here (documentation-only until a runtime-fix milestone is scoped)."
simplified_accounting,D,guardians[].ssn,Guardian SSN/EIN,string,ssn-ein,conditional,active guardian,,government-id,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Sensitive identifier
simplified_accounting,D,guardians[].phone,Guardian phone,string,phone,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Formatted phone
simplified_accounting,D,guardians[].email,Guardian email,string,email,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Email address
simplified_accounting,D,guardians[].mailingStreet,Mailing street,string,,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Address component
simplified_accounting,D,guardians[].mailingCityStateZip,Mailing city/state/ZIP,string,zip,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Address component
simplified_accounting,D,guardians[].residenceStreet,Residence/corporate street,string,,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Address component
simplified_accounting,D,guardians[].residenceCityStateZip,Residence/corporate city/state/ZIP,string,zip,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,Address component
simplified_accounting,D,guardians[].signatureDate,Guardian signature date,date,iso-date,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataSimplified(),,ISO date
simplified_accounting,D,attorney_barNumber,Attorney bar number,string,bar-number,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Normalized identifier
simplified_accounting,D,attorney_phone,Attorney phone,string,phone,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Formatted phone
simplified_accounting,D,attorney_street,Attorney street,string,,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Address component
simplified_accounting,D,attorney_cityStateZip,Attorney city/state/ZIP,string,zip,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Address component
simplified_accounting,D,attorney_signatureDate,Attorney signature date,date,iso-date,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,ISO date
simplified_accounting,D,certServiceDate,Certificate service date,date,iso-date,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,ISO date; should be checked against period
simplified_accounting,D,certAttySignDate,Certificate attorney signature date,date,iso-date,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,ISO date
simplified_accounting,D,certAttyBarNumber,Certificate attorney bar number,string,bar-number,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Identifier
simplified_accounting,D,certAttyPhone,Certificate attorney phone,string,phone,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Formatted phone
simplified_accounting,D,certAttyStreet,Certificate attorney street,string,,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Address component
simplified_accounting,D,certAttyCityStateZip,Certificate attorney city/state/ZIP,string,zip,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Address component
simplified_accounting,D,certIndicator,Certificate indicator,string,,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataSimplified(),,Service/certification choice
simplified_accounting,D,certRecipients[].name,Service recipient name,string,,conditional,populated row,,none,persisted,input,1,unbounded,4,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.certRecipients / emptyDataSimplified(),,Repeatable row
simplified_accounting,D,certRecipients[].line2,Service recipient address line 2,string,,optional,,,none,persisted,input,1,unbounded,4,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.certRecipients / emptyDataSimplified(),,Address/free text
simplified_accounting,D,certRecipients[].line3,Service recipient address line 3,string,,optional,,,none,persisted,input,1,unbounded,4,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.certRecipients / emptyDataSimplified(),,Address/free text
simplified_accounting,D,certRecipients[].line4,Service recipient address line 4,string,,optional,,,none,persisted,input,1,unbounded,4,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.certRecipients / emptyDataSimplified(),,Address/free text
simplified_accounting,D,remuneration[].guardian,Remuneration guardian,string,,conditional,row used,,none,persisted,input,0,unbounded,2,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataSimplified(),,Required when row used
simplified_accounting,D,remuneration[].type,Remuneration type,string,,conditional,row used,,none,persisted,input,0,unbounded,2,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataSimplified(),,Required when row used
simplified_accounting,D,remuneration[].description,Remuneration description,string,,optional,,,none,persisted,input,0,unbounded,2,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataSimplified(),,Free text
simplified_accounting,D,remuneration[].amount,Remuneration amount,decimal,currency,optional,,,none,persisted,input,0,unbounded,2,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataSimplified(),,Currency amount
annual_accounting,D,filingType,Filing type,enum,,required,,Annual; Final; Trust,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Annual; Final; Trust
annual_accounting,D,relatedCaseNumbers,Related case numbers,string,,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Case relationship metadata
annual_accounting,D,startingBalance,Starting balance,decimal,currency,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Currency amount
annual_accounting,D,guardians[].name,Guardian name,string,,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Up to three rows
annual_accounting,D,guardians[].ssn,Guardian SSN/EIN,string,ssn-ein,conditional,active guardian,,government-id,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Sensitive identifier
annual_accounting,D,guardians[].phone,Guardian phone,string,phone,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Formatted phone
annual_accounting,D,guardians[].email,Guardian email,string,email,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Email address
annual_accounting,D,guardians[].mailingStreet,Guardian mailing street,string,,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Address component
annual_accounting,D,guardians[].mailingCityStateZip,Guardian mailing city/state/ZIP,string,zip,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Address component
annual_accounting,D,guardians[].officeStreet,Guardian office/residence street,string,,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Address component
annual_accounting,D,guardians[].officeCityStateZip,Guardian office/residence city/state/ZIP,string,zip,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Address component
annual_accounting,D,guardians[].signatureDate,Guardian signature date,date,iso-date,conditional,active guardian,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,ISO date
annual_accounting,D,guardians[].signatureDateLabel,Guardian signature date label,string,,optional,,,none,persisted,input,1,3,3,guardianPartyIds,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.guardians / emptyDataAnnual(),,Display metadata
annual_accounting,D,preparer.name,Preparer name,string,,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Party field
annual_accounting,D,preparer.ssn,Preparer SSN/EIN,string,ssn-ein,optional,,,government-id,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Sensitive identifier
annual_accounting,D,preparer.phone,Preparer phone,string,phone,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Formatted phone
annual_accounting,D,preparer.street,Preparer street,string,,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Address component
annual_accounting,D,preparer.cityStateZip,Preparer city/state/ZIP,string,zip,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Address component
annual_accounting,D,preparer.signatureDate,Preparer signature date,date,iso-date,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,attorney_bar,Attorney bar number,string,bar-number,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Identifier
annual_accounting,D,attorney_phone,Attorney phone,string,phone,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Formatted phone
annual_accounting,D,attorney_street,Attorney street,string,,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Address component
annual_accounting,D,attorney_cityStateZip,Attorney city/state/ZIP,string,zip,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Address component
annual_accounting,D,attorney_county,Attorney county,string,,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Can diverge from filing county; validation candidate
annual_accounting,D,attorney_signatureDate,Attorney signature date,date,iso-date,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,reconcileExplanation,Reconciliation explanation,string,,conditional,accounting does not reconcile,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Required when accounting does not reconcile
annual_accounting,D,guardianRelationship,Guardian relationship,string,,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Part IX bond section
annual_accounting,D,restrictedDepositoryReceiptDate,Restricted depository receipt date,date,iso-date,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,bondAmount,Bond amount,decimal,currency,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Currency amount
annual_accounting,D,bondPeriodFrom,Bond period from,date,iso-date,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,bondPeriodTo,Bond period to,date,iso-date,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,bondingCompany,Bonding company,string,,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Party/company name
annual_accounting,D,certDate,Certificate of service date,date,iso-date,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,certIndicator,Certificate indicator,string,,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,Service/certification choice
annual_accounting,D,certAttySignDate,Certificate attorney signature date,date,iso-date,optional,,,none,persisted,input,,,,,src/core/state.js,emptyDataAnnual(),,ISO date
annual_accounting,D,remuneration[].guardian,Remuneration guardian,string,,conditional,row is populated,,none,persisted,input,0,unbounded,1,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataAnnual(),,Repeatable row
annual_accounting,D,remuneration[].type,Remuneration type,string,,conditional,row is populated,,none,persisted,input,0,unbounded,1,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataAnnual(),,Repeatable row
annual_accounting,D,remuneration[].amount,Remuneration amount,decimal,currency,optional,,,none,persisted,input,0,unbounded,1,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataAnnual(),,Currency amount
annual_accounting,D,remuneration[].description,Remuneration description,string,,optional,,,none,persisted,input,0,unbounded,1,,src/core/form/schedule-definitions.js,SCHEDULE_SCHEMAS.remuneration / emptyDataAnnual(),,Free text
annual_accounting,D,scheduleNoItems,Schedule no-items confirmations,object,,optional,,,none,persisted,input,,,,,src/features/annual-accounting/index.js,scheduleEmptyHTMLAnnual() / computeNavChecks(),,Dynamic schedule-keyed confirmation map created on demand rather than by emptyDataAnnual(). Milestone 36-5 added the 'a-p8' key so Part VIII can be completed by certifying there are no trusts. Missing keys read as false so a .sav saved before a key existed treats that schedule as unconfirmed.
annual_accounting,D,trusts[].hasTrust,Has trust,enum,,required,,Yes; No,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Tri-state Yes/No; new records begin unanswered (''). Fixed at exactly 3 rows -- no add/remove UI; visibility gated only by a hasTrust==='Yes' toggle on row 0.
annual_accounting,D,trusts[].createdAfterGID,Created after GID,enum,,required,,Yes; No,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Tri-state Yes/No; new records begin unanswered ('')
annual_accounting,D,trusts[].name,Trust name,string,,conditional,trust exists,,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Required when trust exists
annual_accounting,D,trusts[].trustee,Trustee,string,,conditional,trust exists (hasTrust === 'Yes'),,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Party name
annual_accounting,D,trusts[].accountNo,Trust account number,string,,optional,,,financial,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Financial identifier
annual_accounting,D,trusts[].dateCreated,Trust creation date,date,iso-date,optional,,,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,ISO date
annual_accounting,D,trusts[].trustType,Trust type,string,,optional,,,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Trust classification
annual_accounting,D,trusts[].wardPct,Ward percentage,decimal,percentage,optional,,,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Percentage
annual_accounting,D,trusts[].wardAmount,Ward amount,decimal,currency,optional,,,none,persisted,input,3,3,3,,src/legacy-app.js,emptyRowAnnual('trust') / emptyDataAnnual(),,Currency amount
guardian_inventory,D,caseNumber,Case number,string,,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataGuardian(),,Initial Inventory identity
guardian_inventory,D,gid,Guardianship inception date,date,iso-date,required,,,none,persisted,input,,,,,src/core/state.js,emptyDataGuardian(),,ISO date
guardian_inventory,D,guardianName,Primary guardian name,string,,required,,,none,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Initial Inventory cover field
guardian_inventory,D,attorneyForGuardian,Attorney for guardian,string,,required,,,none,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Initial Inventory cover field; distinct from accounting attorney
guardian_inventory,D,hasSafeDepositBox,Safe deposit box exists,boolean,,optional,,,none,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Nullable boolean in initial state
guardian_inventory,D,safeDepositBoxFiled,Safe deposit box filed,boolean,,optional,,,none,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Nullable boolean in initial state
guardian_inventory,D,isAmended,Amended inventory,boolean,,optional,,,none,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Initial Inventory uses a boolean rather than the Yes/No amendedForm enum
guardian_inventory,D,scheduleNoItems,Schedule no-items confirmations,object,,optional,,,none,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Dynamic schedule-keyed confirmation map
guardian_inventory,D,scheduleA1,Schedule A-1 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable real-estate rows
guardian_inventory,D,scheduleA2,Schedule A-2 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable real-estate-liability rows
guardian_inventory,D,scheduleB1,Schedule B-1 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable cash rows
guardian_inventory,D,scheduleB2,Schedule B-2 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable personal-property rows
guardian_inventory,D,scheduleB3,Schedule B-3 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable intangible-property rows
guardian_inventory,D,scheduleB4,Schedule B-4 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable personal-property-liability rows
guardian_inventory,D,scheduleC1,Schedule C-1 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable income rows
guardian_inventory,D,scheduleC2,Schedule C-2 rows,array<object>,,optional,,,legal-id,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable lawsuits-against rows
guardian_inventory,D,scheduleC3,Schedule C-3 rows,array<object>,,optional,,,legal-id,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable lawsuits-by-ward rows
guardian_inventory,D,scheduleC4,Schedule C-4 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable trust rows
guardian_inventory,D,scheduleC5,Schedule C-5 rows,array<object>,,optional,,,financial,persisted,input,,,,,src/legacy-app.js,emptyDataGuardian(),,Repeatable joint-owner rows
guardian_inventory,D,scheduleA1[].propertyDescription,Real property description,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Schedule A-1 row field
guardian_inventory,D,scheduleA1[].streetAddress,Real property street address,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Address component
guardian_inventory,D,scheduleA1[].cityStateZip,Real property city/state/ZIP,string,zip,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Address component
guardian_inventory,D,scheduleA1[].notes,Real property notes,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Free text
guardian_inventory,D,scheduleA1[].isPersonalResidence,Personal residence indicator,boolean,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Checkbox
guardian_inventory,D,scheduleA1[].isIncomeProperty,Income property indicator,boolean,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Checkbox
guardian_inventory,D,scheduleA1[].fullAssetValue,Full asset value,decimal,currency,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Currency amount
guardian_inventory,D,scheduleA1[].wardPercent,Ward percentage,decimal,percentage,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a1() / addEntry/removeEntry,,Percentage 0-100
guardian_inventory,D,scheduleA2[].lenderName,Lender name,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Party name
guardian_inventory,D,scheduleA2[].lenderAddress,Lender address,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Address component
guardian_inventory,D,scheduleA2[].lenderCityStateZip,Lender city/state/ZIP,string,zip,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Address component
guardian_inventory,D,scheduleA2[].accountNumber,Liability account number,string,,optional,,,financial,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Financial identifier
guardian_inventory,D,scheduleA2[].notes,Liability notes,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Free text
guardian_inventory,D,scheduleA2[].liabilityType,Liability type,string,,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Default Mortgage
guardian_inventory,D,scheduleA2[].fullDebtBalance,Full debt balance,decimal,currency,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Currency amount
guardian_inventory,D,scheduleA2[].wardPercent,Ward percentage,decimal,percentage,optional,,,none,persisted,input,0,unbounded,0,,src/legacy-app.js (row factories); src/features/guardian-inventory/index.js (add/removeEntry),mk.a2() / addEntry/removeEntry,,Percentage 0-100
